timestamp,x_window,person,device
0 days 00:00:46.133000,0.10657040652600001,9,glass
0 days 00:00:46.306000,0.10510695069600001,9,glass
0 days 00:00:46.517000,0.125414271196,9,glass
0 days 00:00:46.728000,0.12930035989599997,9,glass
0 days 00:00:46.901000,0.13615525869599998,9,glass
0 days 00:00:47.113000,0.13950115559600001,9,glass
0 days 00:00:47.325000,0.12911331309600002,9,glass
0 days 00:00:47.498000,0.11808202849599998,9,glass
0 days 00:00:47.708000,0.11900080343599999,9,glass
0 days 00:00:47.920000,0.11294945843599999,9,glass
0 days 00:00:48.131000,0.11382932748600001,9,glass
0 days 00:00:48.304000,0.10891373208600001,9,glass
0 days 00:00:48.515000,0.09870096558600004,9,glass
0 days 00:00:48.727000,0.08934113348600002,9,glass
0 days 00:00:48.900000,0.08881291278600002,9,glass
0 days 00:00:49.111000,0.08377311827,9,glass
0 days 00:00:49.323000,0.06848763627,9,glass
0 days 00:00:49.495000,0.06906523742000001,9,glass
0 days 00:00:49.707000,0.06738331076999998,9,glass
0 days 00:00:49.918000,0.07944410197,9,glass
0 days 00:00:50.129000,0.08434622977,9,glass
0 days 00:00:50.301000,0.08005462332999999,9,glass
0 days 00:00:50.513000,0.08156446673,9,glass
0 days 00:00:50.725000,0.07810334913,9,glass
0 days 00:00:50.896000,0.07350199263,9,glass
0 days 00:00:51.108000,0.05637596903000002,9,glass
0 days 00:00:51.319000,0.05743540333000001,9,glass
0 days 00:00:51.493000,0.06193799877,9,glass
0 days 00:00:51.705000,0.05237765226999999,9,glass
0 days 00:00:51.916000,0.040216604270000005,9,glass
0 days 00:00:52.091000,0.03868132236999999,9,glass
0 days 00:00:52.301000,0.046517844210000006,9,glass
0 days 00:00:52.512000,0.049881697470000014,9,glass
0 days 00:00:52.723000,0.053851582470000006,9,glass
0 days 00:00:52.896000,0.052664956170000006,9,glass
0 days 00:00:53.107000,0.04407575717,9,glass
0 days 00:00:53.319000,0.04342483358,9,glass
0 days 00:00:53.491000,0.06073191888,9,glass
0 days 00:00:53.703000,0.06715436488000001,9,glass
0 days 00:00:53.914000,0.06718728507999999,9,glass
0 days 00:00:54.088000,0.06261136698,9,glass
0 days 00:00:54.298000,0.06375010918,9,glass
0 days 00:00:54.510000,0.05539584168000001,9,glass
0 days 00:00:54.721000,0.04806210268000001,9,glass
0 days 00:00:54.894000,0.045251908080000014,9,glass
0 days 00:00:55.105000,0.03951180978000001,9,glass
0 days 00:00:55.317000,0.03890876978,9,glass
0 days 00:00:55.489000,0.03534589828000001,9,glass
0 days 00:00:55.720000,0.033222540480000014,9,glass
0 days 00:00:55.893000,0.03226485981000002,9,glass
0 days 00:00:56.104000,0.03575440886000002,9,glass
0 days 00:00:56.314000,0.04355352056000002,9,glass
0 days 00:00:56.487000,0.050029836260000016,9,glass
0 days 00:00:56.699000,0.044072763160000014,9,glass
0 days 00:00:56.899000,0.03986345736000001,9,glass
0 days 00:00:57.091000,0.028610709610000003,9,glass
0 days 00:00:57.283000,0.027174188609999997,9,glass
0 days 00:00:57.481000,0.03458873211,9,glass
0 days 00:00:57.706000,0.025249848810000003,9,glass
0 days 00:00:57.898000,0.019183540509999996,9,glass
0 days 00:00:58.090000,0.02511218250999999,9,glass
