timestamp,x_window,person,device
0 days 00:00:04.548000,-0.003581577859999999,2,watch
0 days 00:00:04.590000,-0.0033174827599999988,2,watch
0 days 00:00:04.591000,-0.00305338766,2,watch
0 days 00:00:04.634000,-0.00571892926,2,watch
0 days 00:00:04.635000,-0.00838447086,2,watch
0 days 00:00:04.675000,-0.010370502660000001,2,watch
0 days 00:00:04.677000,-0.012356534459999999,2,watch
0 days 00:00:04.720000,-0.013442408446999999,2,watch
0 days 00:00:04.723000,-0.014528282434,2,watch
0 days 00:00:04.762000,-0.020747594633999996,2,watch
0 days 00:00:04.764000,-0.026966906834,2,watch
0 days 00:00:04.805000,-0.029551609893999995,2,watch
0 days 00:00:04.807000,-0.032136312954,2,watch
0 days 00:00:04.847000,-0.033277552163999996,2,watch
0 days 00:00:04.849000,-0.034418791374,2,watch
0 days 00:00:04.891000,-0.036065279489,2,watch
0 days 00:00:04.892000,-0.037711767604,2,watch
0 days 00:00:04.935000,-0.03646866251400001,2,watch
0 days 00:00:04.936000,-0.035225557424,2,watch
0 days 00:00:04.977000,-0.036661022644,2,watch
0 days 00:00:04.980000,-0.038096487863999995,2,watch
0 days 00:00:05.020000,-0.039141291024,2,watch
0 days 00:00:05.023000,-0.040186094183999994,2,watch
0 days 00:00:05.062000,-0.042221995984,2,watch
0 days 00:00:05.064000,-0.044257897783999994,2,watch
0 days 00:00:05.108000,-0.043138552463999995,2,watch
0 days 00:00:05.112000,-0.042019207144,2,watch
0 days 00:00:05.151000,-0.039432589794,2,watch
0 days 00:00:05.153000,-0.036845972444,2,watch
0 days 00:00:05.190000,-0.039506162043999996,2,watch
0 days 00:00:05.194000,-0.042166351644000004,2,watch
0 days 00:00:05.234000,-0.039259395224,2,watch
0 days 00:00:05.235000,-0.036352438804,2,watch
0 days 00:00:05.278000,-0.034059913204,2,watch
0 days 00:00:05.279000,-0.031767387604000004,2,watch
0 days 00:00:05.321000,-0.032952164474,2,watch
0 days 00:00:05.322000,-0.034136941344,2,watch
0 days 00:00:05.362000,-0.037400847843999996,2,watch
0 days 00:00:05.363000,-0.040664754344,2,watch
0 days 00:00:05.408000,-0.042714366794,2,watch
0 days 00:00:05.409000,-0.044763979244,2,watch
0 days 00:00:05.447000,-0.04562938061400001,2,watch
0 days 00:00:05.491000,-0.045558581984,2,watch
0 days 00:00:05.497000,-0.044376703184000006,2,watch
0 days 00:00:05.536000,-0.04343770618400001,2,watch
0 days 00:00:05.539000,-0.043359896434,2,watch
0 days 00:00:05.576000,-0.041895118184,2,watch
0 days 00:00:05.578000,-0.03998708768400001,2,watch
0 days 00:00:05.620000,-0.039379497004,2,watch
0 days 00:00:05.621000,-0.040414318424000006,2,watch
0 days 00:00:05.665000,-0.04117135180400002,2,watch
0 days 00:00:05.665000,-0.040854124934000015,2,watch
0 days 00:00:05.705000,-0.040152588184000006,2,watch
0 days 00:00:05.706000,-0.038992137544,2,watch
0 days 00:00:05.748000,-0.038434854304,2,watch
0 days 00:00:05.749000,-0.038722201137000006,2,watch
0 days 00:00:05.793000,-0.039020875840000004,2,watch
0 days 00:00:05.795000,-0.03853230921000001,2,watch
0 days 00:00:05.847000,-0.038745918710000014,2,watch
0 days 00:00:05.853000,-0.039096317170000006,2,watch
0 days 00:00:05.877000,-0.039555356380000004,2,watch
0 days 00:00:05.878000,-0.03952790158000001,2,watch
0 days 00:00:05.919000,-0.03712333428,2,watch
0 days 00:00:05.920000,-0.036891439430000006,2,watch
0 days 00:00:05.963000,-0.03461288373,2,watch
0 days 00:00:05.965000,-0.03005663203000001,2,watch
0 days 00:00:06.005000,-0.028389138580000008,2,watch
0 days 00:00:06.005000,-0.02745694951000001,2,watch
0 days 00:00:06.053000,-0.024826186590000007,2,watch
0 days 00:00:06.055000,-0.020350027390000004,2,watch
0 days 00:00:06.090000,-0.01865170453,2,watch
0 days 00:00:06.092000,-0.01871913273,2,watch
0 days 00:00:06.137000,-0.01856476669,2,watch
