timestamp,x_window,y_window,z_window,device,person
0 days 00:00:04.075000,-0.026779864580000003,-0.0149913168994,0.07220077573799999,Watch,2
0 days 00:00:04.118000,-0.02300082288,-0.0140952587994,0.07193583533799999,Watch,2
0 days 00:00:04.120000,-0.019221781179999998,-0.0131992006994,0.071670894938,Watch,2
0 days 00:00:04.160000,-0.01677537718,-0.0142223143994,0.06812040362799998,Watch,2
0 days 00:00:04.162000,-0.014328973180000003,-0.015245428099399999,0.064569912318,Watch,2
0 days 00:00:04.204000,-0.01097145648,-0.0149363279494,0.071196995118,Watch,2
0 days 00:00:04.205000,-0.007613939779999999,-0.0146272277994,0.077824077918,Watch,2
0 days 00:00:04.248000,-0.00937793654,-0.012747878999400003,0.080193081239,Watch,2
0 days 00:00:04.249000,-0.0111419333,-0.010868530199400001,0.08256208456,Watch,2
0 days 00:00:04.291000,-0.0123755858,-0.007886440699400003,0.08340639152,Watch,2
0 days 00:00:04.292000,-0.0136092383,-0.004904351199400001,0.08425069848,Watch,2
0 days 00:00:04.332000,-0.01564495035,-0.005767967669400001,0.07659286528,Watch,2
0 days 00:00:04.334000,-0.017680662399999998,-0.0066315841394,0.06893503207999999,Watch,2
0 days 00:00:04.377000,-0.014809197799999998,-0.004673309339399999,0.07140183464,Watch,2
0 days 00:00:04.378000,-0.0119377332,-0.0027150345393999993,0.07386863719999999,Watch,2
0 days 00:00:04.419000,-0.010465088,-0.000969357539399999,0.07350525869999998,Watch,2
0 days 00:00:04.419000,-0.008992442800000002,0.0007763194606000011,0.07314188019999998,Watch,2
0 days 00:00:04.461000,-0.006457865700000002,0.002517499860600001,0.0730557348,Watch,2
0 days 00:00:04.462000,-0.003923288599999999,0.004258680260600002,0.07296958939999999,Watch,2
0 days 00:00:04.505000,-0.0033959482899999995,0.0063413023206000015,0.06931794184999998,Watch,2
0 days 00:00:04.507000,-0.0028686079799999996,0.0084239243806,0.06566629429999998,Watch,2
0 days 00:00:04.547000,-0.003225092919999998,0.0103758310306,0.0590955736,Watch,2
0 days 00:00:04.548000,-0.003581577859999999,0.0123277376806,0.05252485290000001,Watch,2
0 days 00:00:04.590000,-0.0033174827599999988,0.013199670140599999,0.04975994120000001,Watch,2
0 days 00:00:04.591000,-0.00305338766,0.014071602600600001,0.046995029500000014,Watch,2
0 days 00:00:04.634000,-0.00571892926,0.0168031141806,0.03889773350000001,Watch,2
0 days 00:00:04.635000,-0.00838447086,0.019534625760600003,0.030800437500000007,Watch,2
0 days 00:00:04.675000,-0.010370502660000001,0.0214698788606,0.029064960150000006,Watch,2
0 days 00:00:04.677000,-0.012356534459999999,0.023405131960599998,0.027329482800000006,Watch,2
0 days 00:00:04.720000,-0.013442408446999999,0.0260236450606,0.026428184299999994,Watch,2
0 days 00:00:04.723000,-0.014528282434,0.028642158160600003,0.0255268858,Watch,2
0 days 00:00:04.762000,-0.020747594633999996,0.031777925160600004,0.0211534212,Watch,2
0 days 00:00:04.764000,-0.026966906834,0.03491369216060001,0.0167799566,Watch,2
0 days 00:00:04.805000,-0.029551609893999995,0.036904875944600006,0.018526735099999993,Watch,2
0 days 00:00:04.807000,-0.032136312954,0.03889605972860001,0.0202735136,Watch,2
0 days 00:00:04.847000,-0.033277552163999996,0.038932814338600005,0.01560989364,Watch,2
0 days 00:00:04.849000,-0.034418791374,0.03896956894860001,0.010946273679999998,Watch,2
0 days 00:00:04.891000,-0.036065279489,0.0375856063486,0.01056964858,Watch,2
