timestamp,z_window,person,device
0 days 00:00:09.748000,0.128931503596,3,watch
0 days 00:00:09.786000,0.12654110939599997,3,watch
0 days 00:00:09.813000,0.12193453339599998,3,watch
0 days 00:00:09.829000,0.11042178889599999,3,watch
0 days 00:00:09.833000,0.10311783719599997,3,watch
0 days 00:00:09.873000,0.10229590969599997,3,watch
0 days 00:00:09.877000,0.103107027196,3,watch
0 days 00:00:09.914000,0.09449144149599999,3,watch
0 days 00:00:09.917000,0.084058978996,3,watch
0 days 00:00:09.956000,0.07287489049599999,3,watch
0 days 00:00:09.958000,0.064145122796,3,watch
0 days 00:00:10.006000,0.06398809309599997,3,watch
0 days 00:00:10.009000,0.061538892596,3,watch
0 days 00:00:10.042000,0.06293770544599998,3,watch
0 days 00:00:10.043000,0.067931492596,3,watch
0 days 00:00:10.086000,0.06772175239599998,3,watch
0 days 00:00:10.088000,0.065450696696,3,watch
0 days 00:00:10.138000,0.06358221479600001,3,watch
0 days 00:00:10.147000,0.067380362596,3,watch
0 days 00:00:10.173000,0.073028190596,3,watch
0 days 00:00:10.176000,0.07651262259599997,3,watch
0 days 00:00:10.213000,0.081283498696,3,watch
0 days 00:00:10.216000,0.07895833849600001,3,watch
0 days 00:00:10.253000,0.078792686796,3,watch
0 days 00:00:10.253000,0.080453100096,3,watch
0 days 00:00:10.296000,0.079013961596,3,watch
0 days 00:00:10.297000,0.07425096279599996,3,watch
0 days 00:00:10.344000,0.06746885069599998,3,watch
0 days 00:00:10.348000,0.06705633419599998,3,watch
0 days 00:00:10.382000,0.06686878079599996,3,watch
0 days 00:00:10.385000,0.07046187899599998,3,watch
0 days 00:00:10.438000,0.07400919009599997,3,watch
0 days 00:00:10.445000,0.07668552119599997,3,watch
0 days 00:00:10.467000,0.08050394819600001,3,watch
0 days 00:00:10.468000,0.084727173596,3,watch
0 days 00:00:10.519000,0.090710314696,3,watch
0 days 00:00:10.524000,0.085956311996,3,watch
0 days 00:00:10.553000,0.082135050431,3,watch
0 days 00:00:10.554000,0.085782514066,3,watch
0 days 00:00:10.606000,0.08826024126599999,3,watch
0 days 00:00:10.609000,0.06683858306599999,3,watch
0 days 00:00:10.642000,0.044371896965999996,3,watch
0 days 00:00:10.644000,0.038189701866,3,watch
0 days 00:00:10.690000,0.032852366666,3,watch
0 days 00:00:10.694000,0.035658450666,3,watch
0 days 00:00:10.730000,0.036473233066000005,3,watch
0 days 00:00:10.730000,0.029052638266000005,3,watch
0 days 00:00:10.776000,0.022732754366000005,3,watch
0 days 00:00:10.778000,0.025184565766000012,3,watch
0 days 00:00:10.814000,0.026837860566,3,watch
0 days 00:00:10.818000,0.016782980065999997,3,watch
0 days 00:00:10.867000,0.008836254465999989,3,watch
0 days 00:00:10.871000,0.007854784577999993,3,watch
0 days 00:00:10.900000,0.008018980739999992,3,watch
0 days 00:00:10.904000,0.00841707997999999,3,watch
0 days 00:00:10.945000,0.01600590527,3,watch
0 days 00:00:10.953000,0.03207158477,3,watch
0 days 00:00:10.982000,0.04455791537000001,3,watch
0 days 00:00:10.985000,0.055784189970000016,3,watch
0 days 00:00:11.034000,0.05520868347000001,3,watch
0 days 00:00:11.036000,0.06249845597000002,3,watch
0 days 00:00:11.117000,0.07142176047000001,3,watch
0 days 00:00:11.193000,0.06138120397,3,watch
0 days 00:00:11.208000,0.05578576222999999,3,watch
0 days 00:00:11.212000,0.041391911090000004,3,watch
0 days 00:00:11.212000,0.02499943439,3,watch
0 days 00:00:11.225000,0.03437223239,3,watch
0 days 00:00:11.227000,0.029827633390000004,3,watch
0 days 00:00:11.239000,0.02706991039000001,3,watch
0 days 00:00:11.240000,0.036605787390000005,3,watch
0 days 00:00:11.281000,0.055070726390000005,3,watch
0 days 00:00:11.284000,0.06901612879000002,3,watch
0 days 00:00:11.323000,0.05361871789,3,watch
0 days 00:00:11.324000,0.03438834359,3,watch
0 days 00:00:11.374000,0.025484611089999994,3,watch
0 days 00:00:11.376000,0.02279262659,3,watch
0 days 00:00:11.408000,0.04296392958999999,3,watch
0 days 00:00:11.409000,0.058450764589999996,3,watch
0 days 00:00:11.455000,0.05377887099,3,watch
0 days 00:00:11.457000,0.046549767389999996,3,watch
0 days 00:00:11.530000,0.037052985989999995,3,watch
0 days 00:00:11.532000,0.02717233359,3,watch
0 days 00:00:11.547000,0.02969394959,3,watch
0 days 00:00:11.567000,0.04230638039,3,watch
0 days 00:00:11.583000,0.06101159719000001,3,watch
0 days 00:00:11.587000,0.08362803859000001,3,watch
0 days 00:00:11.626000,0.08599905899000002,3,watch
0 days 00:00:11.629000,0.08301406099000001,3,watch
0 days 00:00:11.668000,0.08960926299000001,3,watch
0 days 00:00:11.675000,0.09748493599000002,3,watch
0 days 00:00:11.708000,0.10077251249000002,3,watch
0 days 00:00:11.711000,0.10775616219000003,3,watch
