timestamp,z_window,person,device
0 days 00:01:14.661000,0.12388048540699996,4,glass
0 days 00:01:14.872000,0.11752836935699998,4,glass
0 days 00:01:15.034000,0.09958382745699998,4,glass
0 days 00:01:15.235000,0.09155876230700001,4,glass
0 days 00:01:15.458000,0.082579009307,4,glass
0 days 00:01:15.634000,0.076599490497,4,glass
0 days 00:01:15.859000,0.08104672006699999,4,glass
0 days 00:01:16.033000,0.08447042824700002,4,glass
0 days 00:01:16.233000,0.086542909007,4,glass
0 days 00:01:16.454000,0.08223484250700003,4,glass
0 days 00:01:16.633000,0.08099584315700001,4,glass
0 days 00:01:16.837000,0.083249385577,4,glass
0 days 00:01:17.031000,0.084156189457,4,glass
0 days 00:01:17.235000,0.082891751677,4,glass
0 days 00:01:17.445000,0.088344546057,4,glass
0 days 00:01:17.655000,0.085113870057,4,glass
0 days 00:01:17.867000,0.078492406157,4,glass
0 days 00:01:18.039000,0.064493808757,4,glass
0 days 00:01:18.251000,0.052542252707,4,glass
0 days 00:01:18.463000,0.047266030307000016,4,glass
0 days 00:01:18.635000,0.04174739550699998,4,glass
0 days 00:01:18.846000,0.04477905346699999,4,glass
0 days 00:01:19.058000,0.05942707796699999,4,glass
0 days 00:01:19.249000,0.072060981867,4,glass
0 days 00:01:19.460000,0.088163484967,4,glass
0 days 00:01:19.632000,0.102633440767,4,glass
0 days 00:01:19.847000,0.095411929767,4,glass
0 days 00:01:20.035000,0.08385541721699999,4,glass
0 days 00:01:20.246000,0.07317578084699998,4,glass
0 days 00:01:20.458000,0.068236243547,4,glass
0 days 00:01:20.630000,0.05674108304699997,4,glass
0 days 00:01:20.842000,0.06128857034699998,4,glass
0 days 00:01:21.053000,0.08095244904699998,4,glass
0 days 00:01:21.263000,0.07963414181299998,4,glass
0 days 00:01:21.436000,0.08113201430299999,4,glass
0 days 00:01:21.649000,0.092657103223,4,glass
0 days 00:01:21.860000,0.10213963782299999,4,glass
0 days 00:01:22.032000,0.10236110152300001,4,glass
0 days 00:01:22.243000,0.09346664246300003,4,glass
0 days 00:01:22.435000,0.09871742596300004,4,glass
0 days 00:01:22.648000,0.09484630106000001,4,glass
0 days 00:01:22.859000,0.08765022832000001,4,glass
0 days 00:01:23.031000,0.07556250310000003,4,glass
0 days 00:01:23.241000,0.0710434475,4,glass
0 days 00:01:23.453000,0.05983409450000001,4,glass
0 days 00:01:23.626000,0.06967276709999998,4,glass
0 days 00:01:23.837000,0.07857321169999999,4,glass
0 days 00:01:24.048000,0.06427384199999998,4,glass
0 days 00:01:24.240000,0.06252757199999999,4,glass
0 days 00:01:24.451000,0.05820903069999999,4,glass
0 days 00:01:24.624000,0.07064391589999999,4,glass
0 days 00:01:24.836000,0.08133552289999998,4,glass
0 days 00:01:25.045000,0.0932317127,4,glass
0 days 00:01:25.256000,0.07819462969999999,4,glass
0 days 00:01:25.429000,0.0672351715,4,glass
0 days 00:01:25.642000,0.0459013375,4,glass
0 days 00:01:25.852000,0.029930516099999985,4,glass
0 days 00:01:26.025000,0.022967878499999986,4,glass
0 days 00:01:26.236000,0.006977603499999995,4,glass
0 days 00:01:26.448000,0.009732431800000005,4,glass
0 days 00:01:26.641000,0.014052469400000005,4,glass
0 days 00:01:26.850000,0.00974739550000001,4,glass
0 days 00:01:27.024000,0.01670853660000003,4,glass
0 days 00:01:27.254000,0.016271594800000014,4,glass
0 days 00:01:27.426000,0.01132457560000002,4,glass
0 days 00:01:27.638000,0.01575833760000002,4,glass
0 days 00:01:27.849000,0.02399289520000003,4,glass
0 days 00:01:28.021000,0.022423196740000012,4,glass
0 days 00:01:28.232000,0.02615665554000002,4,glass
0 days 00:01:28.443000,0.013763668890000016,4,glass
0 days 00:01:28.618000,-0.0004264651099999894,4,glass
0 days 00:01:28.828000,0.004526539659999999,4,glass
0 days 00:01:29.038000,-0.0016056092099999953,4,glass
0 days 00:01:29.250000,0.0015158312900000026,4,glass
0 days 00:01:29.423000,-0.003060086509999992,4,glass
0 days 00:01:29.634000,-0.007938272710000001,4,glass
