timestamp,y_window,person,device
0 days 00:00:52.864000,-0.137882074816,5,glass
0 days 00:00:53.073000,-0.15039177861599998,5,glass
0 days 00:00:53.284000,-0.14678850516599998,5,glass
0 days 00:00:53.457000,-0.132979946346,5,glass
0 days 00:00:53.667000,-0.147957174346,5,glass
0 days 00:00:53.878000,-0.14042591364600002,5,glass
0 days 00:00:54.051000,-0.134660376546,5,glass
0 days 00:00:54.263000,-0.146158529846,5,glass
0 days 00:00:54.473000,-0.16171934484599998,5,glass
0 days 00:00:54.684000,-0.170588365846,5,glass
0 days 00:00:54.857000,-0.18014123034599996,5,glass
0 days 00:00:55.068000,-0.18102858134599997,5,glass
0 days 00:00:55.282000,-0.18078616854599996,5,glass
0 days 00:00:55.452000,-0.18355296788599998,5,glass
0 days 00:00:55.663000,-0.18336442428599994,5,glass
0 days 00:00:55.874000,-0.19869180405599995,5,glass
0 days 00:00:56.047000,-0.21336077835599995,5,glass
0 days 00:00:56.257000,-0.21025280535599994,5,glass
0 days 00:00:56.468000,-0.209811374556,5,glass
0 days 00:00:56.680000,-0.21693412495599998,5,glass
0 days 00:00:56.851000,-0.220296481956,5,glass
0 days 00:00:57.063000,-0.22807913405599997,5,glass
0 days 00:00:57.274000,-0.21448006797599997,5,glass
0 days 00:00:57.447000,-0.201226665476,5,glass
0 days 00:00:57.658000,-0.20078373797599994,5,glass
0 days 00:00:57.850000,-0.19994876013599996,5,glass
0 days 00:00:58.061000,-0.19787777573599996,5,glass
0 days 00:00:58.271000,-0.20600758661599997,5,glass
0 days 00:00:58.444000,-0.20482544901599997,5,glass
0 days 00:00:58.655000,-0.21462820831599994,5,glass
0 days 00:00:58.866000,-0.19527108731599999,5,glass
0 days 00:00:59.077000,-0.17684620831599995,5,glass
0 days 00:00:59.250000,-0.21080197431599995,5,glass
0 days 00:00:59.461000,-0.23197569501600002,5,glass
0 days 00:00:59.671000,-0.22331167791599996,5,glass
0 days 00:00:59.847000,-0.23380127386599994,5,glass
0 days 00:01:00.075000,-0.2310644021659999,5,glass
0 days 00:01:00.266000,-0.223687268166,5,glass
0 days 00:01:00.476000,-0.24281394816599997,5,glass
0 days 00:01:00.650000,-0.23955035211599995,5,glass
0 days 00:01:00.860000,-0.23584532501599995,5,glass
0 days 00:01:01.073000,-0.25145252811600005,5,glass
0 days 00:01:01.298000,-0.23549517411600004,5,glass
0 days 00:01:01.475000,-0.21946300191600007,5,glass
0 days 00:01:01.648000,-0.240847711516,5,glass
0 days 00:01:01.843000,-0.21270387051600004,5,glass
0 days 00:01:02.050000,-0.21708825241600002,5,glass
0 days 00:01:02.261000,-0.23773076071600002,5,glass
0 days 00:01:02.471000,-0.215572424916,5,glass
0 days 00:01:02.645000,-0.217025406116,5,glass
0 days 00:01:02.855000,-0.23368156711600002,5,glass
0 days 00:01:03.078000,-0.209902655116,5,glass
0 days 00:01:03.258000,-0.214703029316,5,glass
0 days 00:01:03.470000,-0.24448091181599999,5,glass
0 days 00:01:03.649000,-0.18876035481599998,5,glass
0 days 00:01:03.872000,-0.195755913116,5,glass
0 days 00:01:04.045000,-0.20479252829600003,5,glass
0 days 00:01:04.256000,-0.18048988469600002,5,glass
0 days 00:01:04.467000,-0.198889324696,5,glass
0 days 00:01:04.640000,-0.181528369696,5,glass
0 days 00:01:04.849000,-0.16649577639599994,5,glass
0 days 00:01:05.057000,-0.17821090639599999,5,glass
0 days 00:01:05.232000,-0.140180509396,5,glass
0 days 00:01:05.451000,-0.143497975396,5,glass
0 days 00:01:05.644000,-0.166599028076,5,glass
0 days 00:01:05.855000,-0.154162647076,5,glass
0 days 00:01:06.029000,-0.149315885076,5,glass
0 days 00:01:06.230000,-0.17040730587600003,5,glass
0 days 00:01:06.450000,-0.16701053221000003,5,glass
0 days 00:01:06.641000,-0.18286164411000005,5,glass
0 days 00:01:06.837000,-0.17572093741000003,5,glass
0 days 00:01:07.055000,-0.18143559741000004,5,glass
0 days 00:01:07.267000,-0.19371635671,5,glass
0 days 00:01:07.439000,-0.17289578003,5,glass
0 days 00:01:07.632000,-0.17399561603,5,glass
0 days 00:01:07.842000,-0.19892224917999995,5,glass
0 days 00:01:08.053000,-0.17517027127999998,5,glass
0 days 00:01:08.229000,-0.15453375028,5,glass
0 days 00:01:08.436000,-0.17680581148,5,glass
0 days 00:01:08.647000,-0.15916204177999999,5,glass
0 days 00:01:08.859000,-0.17495180278,5,glass
0 days 00:01:09.030000,-0.19029115417999998,5,glass
0 days 00:01:09.242000,-0.19215563818,5,glass
0 days 00:01:09.453000,-0.21037252067999992,5,glass
0 days 00:01:09.627000,-0.19815311357999996,5,glass
0 days 00:01:09.837000,-0.17973422004999995,5,glass
0 days 00:01:10.048000,-0.20605846745,5,glass
0 days 00:01:10.259000,-0.18051832054999994,5,glass
0 days 00:01:10.446000,-0.16520141554999995,5,glass
0 days 00:01:10.664000,-0.18661455604999994,5,glass
0 days 00:01:10.834000,-0.15798888262999994,5,glass
0 days 00:01:11.044000,-0.18072781392999995,5,glass
0 days 00:01:11.256000,-0.19171570292999998,5,glass
0 days 00:01:11.428000,-0.17401806353,5,glass
0 days 00:01:11.639000,-0.18256386733,5,glass
0 days 00:01:11.852000,-0.17491289643,5,glass
0 days 00:01:12.024000,-0.15259594383,5,glass
0 days 00:01:12.235000,-0.17466000822999994,5,glass
0 days 00:01:12.447000,-0.14305654452999994,5,glass
0 days 00:01:12.622000,-0.15356260023,5,glass
0 days 00:01:12.832000,-0.17486650562999997,5,glass
0 days 00:01:13.040000,-0.16188394683,5,glass
0 days 00:01:13.251000,-0.16678757113,5,glass
0 days 00:01:13.424000,-0.18760515395000002,5,glass
0 days 00:01:13.634000,-0.13531578795,5,glass
0 days 00:01:13.846000,-0.15715090724999997,5,glass
0 days 00:01:14.022000,-0.14762797004999997,5,glass
0 days 00:01:14.230000,-0.12197260174999996,5,glass
0 days 00:01:14.441000,-0.14646827574999996,5,glass
0 days 00:01:14.653000,-0.10952873674999998,5,glass
0 days 00:01:14.824000,-0.12226888324999997,5,glass
0 days 00:01:15.036000,-0.1364724854,5,glass
0 days 00:01:15.247000,-0.12365751999999997,5,glass
0 days 00:01:15.419000,-0.12519130539999998,5,glass
0 days 00:01:15.630000,-0.13963432699999997,5,glass
0 days 00:01:15.840000,-0.05920411299999997,5,glass
0 days 00:01:16.052000,-0.05834818699999997,5,glass
0 days 00:01:16.225000,-0.06106859899999998,5,glass
0 days 00:01:16.435000,-0.05108178549999999,5,glass
0 days 00:01:16.646000,-0.07599644709999998,5,glass
0 days 00:01:16.819000,-0.051916763899999996,5,glass
0 days 00:01:17.034000,-0.02210146939999999,5,glass
0 days 00:01:17.250000,-0.04792143948000001,5,glass
0 days 00:01:17.432000,-0.03867383498000001,5,glass
0 days 00:01:17.643000,-0.04306420228000002,5,glass
0 days 00:01:17.816000,-0.05922655998000001,5,glass
0 days 00:01:18.026000,-0.026209021379999985,5,glass
0 days 00:01:18.237000,-0.028306940980000004,5,glass
0 days 00:01:18.448000,-0.018568525580000002,5,glass
0 days 00:01:18.624000,0.015288480720000004,5,glass
0 days 00:01:18.814000,-0.026375118279999995,5,glass
0 days 00:01:19.023000,-0.017278648280000003,5,glass
0 days 00:01:19.216000,-0.01158493828000001,5,glass
0 days 00:01:19.427000,-0.015186718280000018,5,glass
0 days 00:01:19.619000,-0.002756321980000016,5,glass
0 days 00:01:19.850000,-0.0025228869800000163,5,glass
0 days 00:01:20.026000,-0.020382134679999993,5,glass
0 days 00:01:20.214000,-0.011242269679999988,5,glass
0 days 00:01:20.425000,0.005463273620000011,5,glass
0 days 00:01:20.636000,-0.0023044143799999957,5,glass
0 days 00:01:20.847000,0.004318546020000027,5,glass
0 days 00:01:21.020000,-0.0018929109799999556,5,glass
0 days 00:01:21.230000,0.008441062020000022,5,glass
0 days 00:01:21.442000,-0.006748650429999978,5,glass
0 days 00:01:21.613000,0.0010444755700000185,5,glass
0 days 00:01:21.824000,-0.010905583429999983,5,glass
0 days 00:01:22.045000,-0.0010669105299999958,5,glass
0 days 00:01:22.227000,0.003871130470000017,5,glass
0 days 00:01:22.438000,-0.02888902952999999,5,glass
0 days 00:01:22.611000,-0.029453163330000004,5,glass
0 days 00:01:22.822000,-0.002112877329999997,5,glass
0 days 00:01:23.033000,-0.02530520992999999,5,glass
0 days 00:01:23.239000,-0.01162234742999999,5,glass
